topic,joke,label
Gender Relations,"I used to do shows for drug dealers that wanted to clean their money up. One time I did a real good set, and these motherfuckers called me into the back room. They gave me $25,000 in cash […] I jumped on the subway and started heading towards Brooklyn at one o’clock in the morning.",1
Birds,Why don't seagulls fly over the bay? Because then they'd be bagels.,0
Equality,"Same sex marriage is not a gay privilege, it’s equal rights. Privilege would be something like gay people not paying taxes. Like churches don’t.",1
Oceans,"What did one ocean say to the other ocean? Nothing, they just waved.",0
Technology,What do you call a droid that takes the long way around? R2 detour.,0
Animals,Why do cows have hooves instead of feet? Because they lactose.,0
Religion,"We weren’t very religious. On Hanukkah, my mother had our menorah on a dimmer.",1
Film Industry,"I’m a huge film star, but you have to hurry to the movies because I usually die in the first 15 f***ing minutes. I’m the only guy I know who died in a f***ing Muppet Movie.",1
Cinema,"When people say while watching a film ‘did you see that? No tosser, I paid ten quid to come to the cinema and stare at the f***ing floor.",1
Family,Where there’s a will – there’s a relative!,1
Technology,Why was the computer cold? It left its Windows open.,0
Growing Up,I have a lot of growing up to do. I realised that the other day inside my fort.,1
Birds,"Why do seagulls fly over the ocean? Because if they flew over the bay, they'd be bagels.",0
Humor,"It’s really hard to define ‘virtue signalling’, as I was saying the other day to some of my Muslim friends over a fair-trade coffee in our local feminist bookshop.",1
School,Why did the math teacher take off points? Because the student's answer was too square.,0
Love,Love is like a fart. If you have to force it it’s probably s***.,1
Animals,What do you call a bear with no teeth? A gummy bear.,0
Food,Why was the baby strawberry crying? Because its parents were in a jam.,0
Boomerangs,What do you call a boomerang that doesn't come back? A stick.,0
Beauty,"My girlfriend is absolutely beautiful. Body like a Greek statue – completely pale, no arms.",1
Leadership,"This motherfucker [Donald Trump] grabbed the podium and he goes, 'You don’t know how scary the things I read in my briefings are.' Holy shit, man, you ain’t supposed to tell us that, bro!",1
Animals,Why don't you see elephants hiding in trees? Because they're so good at it.,0
Politics,Trump’s nothing like Hitler. There’s no way he could write a book.,1
Food,What do you call fake spaghetti? An impasta.,0
Personal Improvement,I bought myself some glasses. My observational comedy improved.,1
Halloween,How does a vampire start a letter? Tomb it may concern.,0
Plates,What did one plate say to the other plate? Lunch is on me.,0
Science,Why can't you trust an atom? Because they make up everything.,0
Cultural Identity,"What is Rachel willing to do, so that we blacks believe that she believes she is actually one of us? Bitch, are you willing to put a lien on your house so that you can invest in a mixtape that probably won’t work out?",1
Crime,Crime in multi-storey car parks. That is wrong on so many different levels.,1
Sports,Why don't some fish play basketball? Because they're afraid of the net.,0
Betrayal,"You have to be 100% behind someone, before you can stab them in the back.",1
Animals,What do you call an alligator in a vest? An investigator.,0
Wealth,My wealth and happiness would suggest that God definitely does love me. If he existed of course. Which he doesn’t.,1
Boomerangs,What do you call a boomerang that doesn't come back? A stick.,0
Dogs,Why did the cowboy get a dachshund? Because he wanted to get a long little doggie.,0
Aeroplane Comfort,I get claustrophobic easily and I don’t get why aeroplane toilets don’t f***ing have windows. I mean it’s not as if anyone can f***ing see in. Unless of course you are the most determined pervert in the world.,1
Life,Mondays are fine. It’s your life that sucks.,1
Books,Why did the math book look sad? Because it had too many problems.,0
Religious Satire,"I respect everybody’s beliefs, except Amish people. They are the only ones I can say clearly, 'Their God is wrong.' The speed limit is 75 miles an hour in Ohio, and one lane of traffic is blocked by a goddamned horse and buggy?",1
Judgement,"Before you judge a man, walk a mile in his shoes. After that who cares? He’s a mile away and you’ve got his shoes!",1
Customer Service,I rang up British Telecom and said: ‘I want to report a nuisance caller.’ He said: ‘Not you again.’,1
Drinking,I like a drink as much as the next man. Unless the next man is Mel Gibson.,1
Police,"Alright lads, a giant fly is attacking the police station. I’ve called the SWAT team!",1
Technology,"My phone will ring at 2am and my wife’ll look at me and go, “Who’s that calling at this time?” I say, “I don’t know. If I knew that we wouldn’t need the bloody phone.”",1
Environment,"It seems to be true, particularly in middle America, that those most militant about using up fossil fuels, don’t actually believe in fossils",1
Technology,Why did the computer go to the doctor? It had a virus.,0
Transportation,Why did the bicycle fall over? It was two-tired.,0
Sports,"If I was an Olympic athlete, I’d rather come in last than win the silver medal. You win the gold, you feel good. You win the bronze, you think, ‘at least I got something.’ But you win that silver, that’s like, ‘Congratulations, you almost won! Of all the losers, you came in first! You’re the number one loser! No one lost ahead of you!’",1
Snowmen,What do you call a snowman with a six-pack? An abdominal snowman.,0
Sarcasm,Someone showed me a photograph of my local MP the other day. ‘Would you buy a second-hand car from this man?’ they asked. ‘Would you buy a second-hand car?’ I replied.,1
Relationships,I used to go out with a giraffe. Used to take it to the pictures and that. You’d always get some bloke complaining that he couldn’t see the screen.,1
Religion,"We weren’t very religious. On Hanukkah, my mother had our menorah on a dimmer.",1
Gym,Why don't some couples go to the gym? Because some relationships don't work out.,0
Dating,I like a woman with a head on her shoulders. I hate necks.,1
Religion,"Remember, if you don’t sin, then Jesus died for nothing.",1
Scottish Heritage,"Scottish-Americans tell you that if you want to identify tartans, it’s easy – you simply look under the kilt, and if it’s a quarter-pounder, you know it’s a McDonald’s.",1
Oceans,"What did one ocean say to the other ocean? Nothing, they just waved.",0
Drinking,"My father drank so heavily, when he blew on the birthday cake he lit the candles.",1
Dating,"I used to go out with a giraffe. Used to take it to the pictures and that. You’d always get some bloke complaining that he couldn’t see the screen. It’s a giraffe, mate. What do you expect? ‘Well he can take his hat off for a start!’",1
Skeletons,Why did the skeleton go to the party alone? He had no body to go with him.,0
Golf,Why did the golfer bring extra pants? In case he got a hole in one.,0
Afterlife,I doubt there’s a heaven; I think the people from hell have probably bought it for a timeshare.,1
Animals,What do you call a magic dog? A labracadabrador.,0
Health,Life is like a box of chocolates. It doesn’t last long if you’re fat.,1
Music,Here’s a picture of me with REM. That’s me in the corner.,1
Plates,What did one plate say to the other plate? Lunch is on me.,0
Therapy,"I’ve been feeling suicidal so my therapist suggested I do CBT. Now I can ride a motorbike, how’s that going to help?",1
Entertainment,I saw a documentary on how ships are kept together. Riveting!,1
Holidays,"1st of December, World Aids Day….I don’t think it’ll ever take off like Christmas.",1
Insurance,"Do Transformers get car, or life insurance?",1
Food,Why did the tomato turn red? Because it saw the salad dressing.,0
Self-Improvement,I bought myself some glasses. My observational comedy improved.,1
Fashion,Why did the scarecrow get promoted? He was outstanding in his field.,0
Aging,"I don’t like looking at my dick anymore. My dick looks distinguished. It’s old, an old-looking dick. It’s got salt-and-pepper hair all around it. My dick looks like Morgan Freeman in the ’90s.",1
Police,"I was in my car driving back from work. A police officer pulled me over and knocked on my window. I said, ‘One minute I’m on the phone.’",1
Creation,"If we were truly created by God, then why do we still occasionally bite the insides of our own mouths?",1
Animals,How do you catch a squirrel? Climb a tree and act like a nut.,0
Fashion,"What did one hat say to the other hat? You stay here, I'll go on ahead.",0
Books,Why was the math book sad? It had too many problems.,0
Movies,"It seems like everything this year was three-dimensional, except the characters in The Tourist.",1
Appearance,"I always look skint. When I buy a Big Issue, people take it out of my hand and give me a pound.",1
Misunderstanding,"A man walks into a chemist’s and says, ‘Can I have a bar of soap, please?’ The chemist says, ‘Do you want it scented?’ And the man says, ‘No, I’ll take it with me now.'",1
Shopping,"A man walks into a chemist’s and says, ‘Can I have a bar of soap, please?’ The chemist says, ‘Do you want it scented?’ And the man says, ‘No, I’ll take it with me now.’",1
Political Commentary,"Eight years later, I’m pulling up to the polls again. This time, I’m driving a brand-new Porsche because the Obama years were very good to me […] I walked up and saw a long, long line of dusty white people […] I stood with them in line, like all us Americans are required to do in a democracy. Nobody skips the line to vote. And I listened to them say naïve, poor white people things.",1
Books,Why did the math book look sad? Because it had too many problems.,0
Technology,What do you call a droid that takes the long way around? R2 detour.,0
Fame,"Please don’t worship me. I’m just an ordinary guy, with lots of followers trying to spread my message. Sort of like Jesus Christ I guess.",1
Animals,"Owls haven’t got necks, have they? An owl is essentially a one-piece unit.",1
Food,Why did the tomato turn red? Because it saw the salad dressing.,0
Emergency,"Alright lads, a giant fly is attacking the police station. I’ve called the SWAT team!",1
Field,Why did the scarecrow win an award? Because he was outstanding in his field.,0
Insurance,"Do Transformers get car, or life insurance?",1
Ghosts,Why do ghosts like elevators? Because it lifts their spirits.,0
Animals,How does a penguin build its house? Igloos it together.,0
Dogs,Why did the cowboy get a dachshund? Because he wanted to get a long little doggie.,0
Fashion,Why was the belt arrested? It held up a pair of pants.,0
Inspiration,"My greatest hero is Nelson Mandela. What a man. Incarcerated for 25 years, he was released in 1990 and he hasn’t reoffended. I think he’s going straight, which shows you prison does work.",1
Fashion,"If you arrive fashionably late in Crocs, you’re just late.",1
Gym,Why don't some couples go to the gym? Because some relationships don't work out.,0
Birds,"Why do seagulls fly over the ocean? Because if they flew over the bay, they'd be bagels.",0
Fitness,"I said to the gym instructor: “Can you teach me to do the splits?”, He said: “How flexible are you?”, I said: “I can’t make Tuesdays.”",1
Golf,Why did the golfer bring an extra pair of pants? In case he got a hole in one.,0
Animals,What do you call a fish with no eyes? Fsh.,0
Workplace,"If your boss is getting you down, look at him through the prongs of a fork and imagine him in jail.",1
Military,"Do commandos not wear pants? They must wear pants, don’t they?",1
Hollywood,"You think I go to a Hollywood meeting with all them white people by myself? I bring my nigga Mac Mittens from the streets […] He’s not even qualified to listen to these meetings, he just makes me feel good.",1
Food,Why was the baby strawberry crying? Because its parents were in a jam.,0
Employment,"I used to work at McDonald’s making minimum wage. You know what that means when someone pays you minimum wage? You know what your boss was trying to say? ‘Hey, if I could pay you less, I would, but it’s against the law.’",1
Bees,Why do bees have sticky hair? Because they use honeycombs.,0
Comedy Culture,"The tough part of being a comedian and knowing the motherfucker is, everybody comes up to me like, 'Did you know? Did you know what Louis was doing?' No, bitch, I did not know.",1
Fashion,"What did one hat say to the other hat? You stay here, I'll go on ahead.",0
Career,"My Dad said, always leave them wanting more. Ironically, that’s how he lost his job in disaster relief.",1
Food,What do you call cheese that isn't yours? Nacho cheese.,0
Halloween,How does a vampire start a letter? Tomb it may concern.,0
Weather,"I hate all those weathermen, too, who tell you that rain is bad weather. There’s no such thing as bad weather, just the wrong clothing, so get yourself a sexy raincoat and live a little.",1
Employment,Avoid employing unlucky people – throw half of the pile of CVs in the bin without reading them.,1
Cleaning,What did the janitor say when he jumped out of the closet? Supplies!,0
Food,Why did the tomato turn red? Because it saw the salad dressing.,0
Skeletons,Why don't skeletons fight each other? They don't have the guts.,0
Healthcare,"A good rule to remember for life is that when it comes to plastic surgery and sushi, never be attracted by a bargain.",1
Childhood,As a kid I was made to walk the plank. We couldn’t afford a dog.,1
Sports,Why don't some fish play basketball? Because they're afraid of the net.,0
Fashion,Why did the scarecrow get promoted? He was outstanding in his field.,0
Golf,Why did the golfer bring an extra pair of pants? In case he got a hole in one.,0
Food,What did the grape do when it got stepped on? Nothing but let out a little wine.,0
Body,Why can't your nose be 12 inches long? Because then it would be a foot.,0
Music,People who like trance music are very persistent. They don’t techno for an answer.,1
Field,Why did the scarecrow win an award? Because he was outstanding in his field.,0
Common Sayings,Why do people say ‘Oh you want to have your cake and eat it too?’ Dead right! What good is a cake if you can’t eat it?,1
Identity,My star sign is Pyrex. I was a test-tube baby.,1
Sex Therapy,"One sex therapist claims that the most effective way to arouse your man is to spend 10 minutes licking his ears. Personally, I think its bollocks.",1
Philosophy,I doubt there’s a heaven; I think the people from hell have probably bought it for a timeshare.,1
